loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2486,7.133481979370117,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.030475378036499,0.14754098360655737,0.172,354.676,5.814,,,,,
2.9285,5.076686382293701,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,2.9128289222717285,0.14754098360655737,0.1729,352.748,5.783,,,,,
2.7443,6.8896684646606445,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,2.5230278968811035,0.36065573770491804,0.1717,355.276,5.824,,,,,
2.2745,7.5459885597229,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.031881809234619,0.4918032786885246,0.1714,355.963,5.835,,,,,
2.0129,13.320730209350586,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,1.7472262382507324,0.5901639344262295,0.1712,356.253,5.84,,,,,
1.717,10.85416030883789,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,1.5365785360336304,0.6065573770491803,0.1722,354.198,5.807,,,,,
1.3765,10.7968111038208,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,1.4370594024658203,0.6557377049180327,0.172,354.741,5.815,,,,,
1.1935,13.186178207397461,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,1.3346705436706543,0.6885245901639344,0.1719,354.867,5.817,,,,,
0.9797,15.070536613464355,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,1.177833080291748,0.6885245901639344,0.171,356.659,5.847,,,,,
0.8275,8.73994255065918,8.571428571428571e-05,10.0,50,,,,,,,,,,
,,,10.0,50,1.185218095779419,0.7213114754098361,0.1718,355.13,5.822,,,,,
0.6651,5.379474639892578,8.428571428571429e-05,11.0,55,,,,,,,,,,
,,,11.0,55,1.0376867055892944,0.7868852459016393,0.1708,357.181,5.855,,,,,
0.6117,6.380850791931152,8.285714285714287e-05,12.0,60,,,,,,,,,,
,,,12.0,60,1.078364372253418,0.7704918032786885,0.1706,357.517,5.861,,,,,
0.4626,3.399425983428955,8.142857142857143e-05,13.0,65,,,,,,,,,,
,,,13.0,65,1.0697731971740723,0.7704918032786885,0.1722,354.307,5.808,,,,,
0.4874,9.070980072021484,8e-05,14.0,70,,,,,,,,,,
,,,14.0,70,1.0716848373413086,0.7377049180327869,0.1714,355.862,5.834,,,,,
,,,14.0,70,,,,,,60.9023,313.781,5.747,1005854235789312.0,1.5378535883767264
