loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2462,9.169327735900879,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.1027698516845703,0.14754098360655737,0.4408,138.378,2.268,,,,,
3.0324,14.925858497619629,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,3.028254508972168,0.14754098360655737,0.5534,110.23,1.807,,,,,
2.9559,7.265026092529297,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,3.000447988510132,0.14754098360655737,0.4401,138.599,2.272,,,,,
2.8471,6.359673500061035,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,3.0034804344177246,0.14754098360655737,0.4406,138.436,2.269,,,,,
2.9221,6.662784576416016,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.966776132583618,0.14754098360655737,0.4392,138.89,2.277,,,,,
3.0145,7.807725429534912,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,3.0416531562805176,0.14754098360655737,0.4406,138.46,2.27,,,,,
2.9054,5.933172225952148,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,3.0005970001220703,0.14754098360655737,0.441,138.316,2.267,,,,,
2.9297,8.039820671081543,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,2.9890477657318115,0.14754098360655737,0.4409,138.364,2.268,,,,,
,,,8.0,40,,,,,,94.5364,202.144,3.702,2035523775946752.0,2.9816510677337646
