loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2875,4.126944065093994,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,2.9208078384399414,0.24193548387096775,0.5448,113.799,1.835,,,,,
2.9978,5.850723743438721,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,2.6262567043304443,0.24193548387096775,0.5443,113.904,1.837,,,,,
2.7404,7.3187055587768555,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,2.496297597885132,0.2903225806451613,0.5409,114.625,1.849,,,,,
2.5881,6.258014678955078,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.300990343093872,0.2903225806451613,0.5448,113.804,1.836,,,,,
2.4381,7.385988712310791,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.150200366973877,0.4032258064516129,0.5464,113.467,1.83,,,,,
2.3347,6.993644714355469,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.0268378257751465,0.45161290322580644,0.5435,114.084,1.84,,,,,
2.1619,5.840329170227051,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,1.8952858448028564,0.46774193548387094,0.5462,113.509,1.831,,,,,
1.9976,6.560647010803223,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,1.8006421327590942,0.5,0.54,114.821,1.852,,,,,
1.8336,5.876349925994873,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,1.6729516983032227,0.5806451612903226,0.6702,92.513,1.492,,,,,
1.7499,7.099071025848389,8.571428571428571e-05,10.0,50,,,,,,,,,,
,,,10.0,50,1.5883208513259888,0.5967741935483871,0.5419,114.402,1.845,,,,,
1.5627,6.995382308959961,8.428571428571429e-05,11.0,55,,,,,,,,,,
,,,11.0,55,1.5337101221084595,0.5967741935483871,0.5428,114.217,1.842,,,,,
1.4701,7.608573913574219,8.285714285714287e-05,12.0,60,,,,,,,,,,
,,,12.0,60,1.3844969272613525,0.7096774193548387,0.5416,114.478,1.846,,,,,
1.4191,6.886990547180176,8.142857142857143e-05,13.0,65,,,,,,,,,,
,,,13.0,65,1.326215386390686,0.7096774193548387,0.5455,113.657,1.833,,,,,
1.2565,5.289190769195557,8e-05,14.0,70,,,,,,,,,,
,,,14.0,70,1.319705605506897,0.6774193548387096,0.6702,92.516,1.492,,,,,
1.2234,6.297509670257568,7.857142857142858e-05,15.0,75,,,,,,,,,,
,,,15.0,75,1.238816261291504,0.7258064516129032,0.5396,114.9,1.853,,,,,
1.1821,6.331229209899902,7.714285714285715e-05,16.0,80,,,,,,,,,,
,,,16.0,80,1.2090258598327637,0.7096774193548387,0.5465,113.45,1.83,,,,,
1.0752,6.247234344482422,7.571428571428571e-05,17.0,85,,,,,,,,,,
,,,17.0,85,1.2121175527572632,0.7096774193548387,0.5413,114.542,1.847,,,,,
0.9926,4.7606048583984375,7.428571428571429e-05,18.0,90,,,,,,,,,,
,,,18.0,90,1.1390668153762817,0.7258064516129032,0.5434,114.095,1.84,,,,,
0.8833,5.4172515869140625,7.285714285714286e-05,19.0,95,,,,,,,,,,
,,,19.0,95,1.1306685209274292,0.7096774193548387,0.5432,114.129,1.841,,,,,
0.8212,6.89544153213501,7.142857142857143e-05,20.0,100,,,,,,,,,,
,,,20.0,100,1.1150230169296265,0.7258064516129032,0.5465,113.443,1.83,,,,,
0.8215,5.325098514556885,7e-05,21.0,105,,,,,,,,,,
,,,21.0,105,1.0794004201889038,0.7258064516129032,0.5462,113.506,1.831,,,,,
0.7049,4.020188808441162,6.857142857142858e-05,22.0,110,,,,,,,,,,
,,,22.0,110,1.084315299987793,0.7258064516129032,0.5453,113.702,1.834,,,,,
0.7493,5.7273993492126465,6.714285714285714e-05,23.0,115,,,,,,,,,,
,,,23.0,115,1.0894948244094849,0.7258064516129032,0.545,113.771,1.835,,,,,
0.6161,3.3350279331207275,6.571428571428571e-05,24.0,120,,,,,,,,,,
,,,24.0,120,1.084323763847351,0.7741935483870968,0.5457,113.621,1.833,,,,,
,,,24.0,120,,,,,,240.4844,79.174,1.455,3987568075603968.0,1.6211385567982992
