loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2531,13.642067909240723,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.0932717323303223,0.06779661016949153,0.4407,133.881,2.269,,,,,
3.0017,9.240530014038086,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,3.119805097579956,0.01694915254237288,0.5467,107.921,1.829,,,,,
2.9464,6.597716808319092,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,3.06345796585083,0.1016949152542373,0.44,134.105,2.273,,,,,
2.9124,5.744121551513672,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.9939796924591064,0.1016949152542373,0.4413,133.691,2.266,,,,,
2.9794,6.689205646514893,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,3.032135248184204,0.1016949152542373,0.4395,134.247,2.275,,,,,
2.9079,3.8880960941314697,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.9831204414367676,0.1016949152542373,0.4411,133.75,2.267,,,,,
2.9221,5.437631130218506,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,3.0177955627441406,0.1016949152542373,0.4398,134.162,2.274,,,,,
2.8913,4.391695022583008,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,3.0409510135650635,0.1016949152542373,0.4401,134.06,2.272,,,,,
2.9659,6.225811004638672,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,3.0077459812164307,0.1016949152542373,0.44,134.089,2.273,,,,,
,,,9.0,45,,,,,,110.1023,174.837,3.179,2306740542796800.0,2.975583224826389
