loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.1763,28.18224334716797,9.933333333333334e-06,1.0,17,,,,,,,,,,
,,,1.0,17,3.0584332942962646,0.1506849315068493,0.8279,88.175,6.039,,,,,
2.9711,25.53588104248047,9.866666666666668e-06,2.0,34,,,,,,,,,,
,,,2.0,34,2.981806516647339,0.1780821917808219,0.8352,87.4,5.986,,,,,
2.9194,19.93299102783203,9.800000000000001e-06,3.0,51,,,,,,,,,,
,,,3.0,51,3.0240795612335205,0.1506849315068493,0.8465,86.233,5.906,,,,,
2.7787,31.98595428466797,9.733333333333334e-06,4.0,68,,,,,,,,,,
,,,4.0,68,2.8092894554138184,0.3150684931506849,0.8463,86.256,5.908,,,,,
2.5102,32.80149459838867,9.666666666666667e-06,5.0,85,,,,,,,,,,
,,,5.0,85,2.5292165279388428,0.3972602739726027,0.8456,86.326,5.913,,,,,
2.1754,43.28213882446289,9.600000000000001e-06,6.0,102,,,,,,,,,,
,,,6.0,102,2.301048755645752,0.3972602739726027,0.8283,88.135,6.037,,,,,
1.8514,39.71940231323242,9.533333333333334e-06,7.0,119,,,,,,,,,,
,,,7.0,119,2.07745623588562,0.4520547945205479,0.8454,86.349,5.914,,,,,
1.5923,39.23922348022461,9.466666666666667e-06,8.0,136,,,,,,,,,,
,,,8.0,136,1.9442557096481323,0.4520547945205479,0.8355,87.378,5.985,,,,,
1.3448,43.9229621887207,9.4e-06,9.0,153,,,,,,,,,,
,,,9.0,153,1.835382342338562,0.4931506849315068,0.8463,86.258,5.908,,,,,
1.0965,18.174524307250977,9.333333333333334e-06,10.0,170,,,,,,,,,,
,,,10.0,170,1.7088840007781982,0.547945205479452,0.8462,86.272,5.909,,,,,
0.9447,22.2751522064209,9.266666666666667e-06,11.0,187,,,,,,,,,,
,,,11.0,187,1.644086480140686,0.5616438356164384,0.8469,86.198,5.904,,,,,
0.8078,33.99031066894531,9.200000000000002e-06,12.0,204,,,,,,,,,,
,,,12.0,204,1.6426116228103638,0.5616438356164384,0.8641,84.486,5.787,,,,,
0.6518,5.6839375495910645,9.133333333333335e-06,13.0,221,,,,,,,,,,
,,,13.0,221,1.5628879070281982,0.5616438356164384,0.846,86.287,5.91,,,,,
0.5407,10.586773872375488,9.066666666666667e-06,14.0,238,,,,,,,,,,
,,,14.0,238,1.5184326171875,0.589041095890411,0.8603,84.855,5.812,,,,,
0.4873,41.7072868347168,9e-06,15.0,255,,,,,,,,,,
,,,15.0,255,1.5796165466308594,0.5616438356164384,0.8937,81.679,5.594,,,,,
0.4356,9.083916664123535,8.933333333333333e-06,16.0,272,,,,,,,,,,
,,,16.0,272,1.709795355796814,0.5616438356164384,0.8331,87.621,6.001,,,,,
0.3871,11.55504322052002,8.866666666666668e-06,17.0,289,,,,,,,,,,
,,,17.0,289,1.544866681098938,0.5753424657534246,0.857,85.185,5.835,,,,,
0.3348,5.139397144317627,8.8e-06,18.0,306,,,,,,,,,,
,,,18.0,306,1.6234164237976074,0.5753424657534246,0.8462,86.265,5.909,,,,,
0.3369,36.80687713623047,8.733333333333333e-06,19.0,323,,,,,,,,,,
,,,19.0,323,1.5696436166763306,0.6027397260273972,0.8316,87.784,6.013,,,,,
0.3428,61.015045166015625,8.666666666666668e-06,20.0,340,,,,,,,,,,
,,,20.0,340,1.683504343032837,0.589041095890411,0.8487,86.014,5.891,,,,,
0.2669,22.286657333374023,8.6e-06,21.0,357,,,,,,,,,,
,,,21.0,357,1.6080740690231323,0.589041095890411,0.8471,86.176,5.902,,,,,
0.2587,3.556936740875244,8.533333333333335e-06,22.0,374,,,,,,,,,,
,,,22.0,374,1.71127188205719,0.5616438356164384,0.8913,81.899,5.61,,,,,
0.2606,10.733307838439941,8.466666666666668e-06,23.0,391,,,,,,,,,,
,,,23.0,391,1.7104969024658203,0.6027397260273972,0.8481,86.074,5.895,,,,,
0.2622,31.803163528442383,8.400000000000001e-06,24.0,408,,,,,,,,,,
,,,24.0,408,1.6485679149627686,0.6027397260273972,0.8256,88.419,6.056,,,,,
,,,24.0,408,,,,,,380.8105,102.807,6.696,5838150610132992.0,1.1972564704277937
