loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2519,12.077454566955566,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.1363525390625,0.1016949152542373,0.4395,134.243,2.275,,,,,
3.0365,7.343229293823242,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,3.05096173286438,0.11864406779661017,0.5517,106.946,1.813,,,,,
2.9333,5.739058971405029,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,3.00618314743042,0.1016949152542373,0.4398,134.159,2.274,,,,,
2.8778,6.45189094543457,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.891845703125,0.1016949152542373,0.4403,134.008,2.271,,,,,
2.7909,9.316287994384766,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.7577767372131348,0.13559322033898305,0.4401,134.07,2.272,,,,,
2.6915,54.16822814941406,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.632735252380371,0.22033898305084745,0.4406,133.906,2.27,,,,,
2.7749,28.435400009155273,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,2.815155029296875,0.15254237288135594,0.44,134.076,2.272,,,,,
2.4746,24.237037658691406,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,2.6529910564422607,0.22033898305084745,0.4415,133.629,2.265,,,,,
2.2549,18.543991088867188,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,2.409191370010376,0.2542372881355932,0.4421,133.463,2.262,,,,,
1.9107,18.09035301208496,8.571428571428571e-05,10.0,50,,,,,,,,,,
,,,10.0,50,2.231618642807007,0.3728813559322034,0.4404,133.976,2.271,,,,,
1.7107,28.517866134643555,8.428571428571429e-05,11.0,55,,,,,,,,,,
,,,11.0,55,2.457115888595581,0.2711864406779661,0.441,133.79,2.268,,,,,
1.4195,13.534727096557617,8.285714285714287e-05,12.0,60,,,,,,,,,,
,,,12.0,60,2.248704671859741,0.423728813559322,0.4417,133.586,2.264,,,,,
1.1434,19.10697364807129,8.142857142857143e-05,13.0,65,,,,,,,,,,
,,,13.0,65,2.4643638134002686,0.2711864406779661,0.441,133.789,2.268,,,,,
0.9764,26.764175415039062,8e-05,14.0,70,,,,,,,,,,
,,,14.0,70,2.01296067237854,0.4406779661016949,0.4411,133.748,2.267,,,,,
0.8331,16.342985153198242,7.857142857142858e-05,15.0,75,,,,,,,,,,
,,,15.0,75,2.4505958557128906,0.3389830508474576,0.441,133.798,2.268,,,,,
0.7002,12.769901275634766,7.714285714285715e-05,16.0,80,,,,,,,,,,
,,,16.0,80,2.3830771446228027,0.4576271186440678,0.441,133.785,2.268,,,,,
0.5482,11.463682174682617,7.571428571428571e-05,17.0,85,,,,,,,,,,
,,,17.0,85,2.2850637435913086,0.4576271186440678,0.5537,106.549,1.806,,,,,
0.4428,14.13116455078125,7.428571428571429e-05,18.0,90,,,,,,,,,,
,,,18.0,90,2.6326167583465576,0.3389830508474576,0.441,133.787,2.268,,,,,
0.3779,6.8769426345825195,7.285714285714286e-05,19.0,95,,,,,,,,,,
,,,19.0,95,2.6143133640289307,0.4067796610169492,0.4412,133.715,2.266,,,,,
0.3087,4.754392623901367,7.142857142857143e-05,20.0,100,,,,,,,,,,
,,,20.0,100,2.7037391662597656,0.3559322033898305,0.4412,133.724,2.267,,,,,
0.303,5.575493812561035,7e-05,21.0,105,,,,,,,,,,
,,,21.0,105,2.401695728302002,0.423728813559322,0.441,133.798,2.268,,,,,
0.3182,10.439285278320312,6.857142857142858e-05,22.0,110,,,,,,,,,,
,,,22.0,110,2.925426483154297,0.423728813559322,0.4405,133.949,2.27,,,,,
0.2507,2.3540515899658203,6.714285714285714e-05,23.0,115,,,,,,,,,,
,,,23.0,115,2.98781681060791,0.3728813559322034,0.441,133.792,2.268,,,,,
0.2583,10.169377326965332,6.571428571428571e-05,24.0,120,,,,,,,,,,
,,,24.0,120,2.9045772552490234,0.4067796610169492,0.4416,133.604,2.264,,,,,
,,,24.0,120,,,,,,291.1943,66.107,1.202,6151308114124800.0,1.5245078762372335
