loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3504,9.188766479492188,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.21195650100708,0.1016949152542373,0.4136,142.657,2.418,,,,,
3.0423,7.754955768585205,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,3.0378072261810303,0.1016949152542373,0.523,112.803,1.912,,,,,
2.9048,6.95881986618042,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,3.0099024772644043,0.1016949152542373,0.4138,142.596,2.417,,,,,
2.8476,8.030719757080078,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.8824987411499023,0.13559322033898305,0.4127,142.948,2.423,,,,,
2.7889,5.96601676940918,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.765890121459961,0.1694915254237288,0.413,142.873,2.422,,,,,
2.6795,5.583368301391602,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.5546822547912598,0.22033898305084745,0.4129,142.904,2.422,,,,,
2.5356,6.947813034057617,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,2.624269723892212,0.23728813559322035,0.4143,142.396,2.413,,,,,
2.3963,5.722222805023193,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,2.4403436183929443,0.23728813559322035,0.4131,142.834,2.421,,,,,
2.4149,9.076416969299316,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,2.33160400390625,0.3050847457627119,0.4129,142.894,2.422,,,,,
2.0827,8.515883445739746,8.571428571428571e-05,10.0,50,,,,,,,,,,
,,,10.0,50,2.201353073120117,0.4067796610169492,0.4133,142.753,2.42,,,,,
2.0223,11.418573379516602,8.428571428571429e-05,11.0,55,,,,,,,,,,
,,,11.0,55,2.2280306816101074,0.3220338983050847,0.4146,142.31,2.412,,,,,
1.7198,10.195122718811035,8.285714285714287e-05,12.0,60,,,,,,,,,,
,,,12.0,60,1.8971996307373047,0.559322033898305,0.4132,142.794,2.42,,,,,
1.4969,9.143880844116211,8.142857142857143e-05,13.0,65,,,,,,,,,,
,,,13.0,65,2.2767465114593506,0.3898305084745763,0.4138,142.577,2.417,,,,,
1.4365,9.271916389465332,8e-05,14.0,70,,,,,,,,,,
,,,14.0,70,1.9277225732803345,0.4745762711864407,0.4144,142.373,2.413,,,,,
1.167,13.714252471923828,7.857142857142858e-05,15.0,75,,,,,,,,,,
,,,15.0,75,1.7836408615112305,0.4915254237288136,0.414,142.511,2.415,,,,,
0.999,8.020418167114258,7.714285714285715e-05,16.0,80,,,,,,,,,,
,,,16.0,80,1.7009373903274536,0.576271186440678,0.4135,142.67,2.418,,,,,
0.8355,5.771535396575928,7.571428571428571e-05,17.0,85,,,,,,,,,,
,,,17.0,85,1.8311761617660522,0.559322033898305,0.4141,142.479,2.415,,,,,
0.7281,7.313961505889893,7.428571428571429e-05,18.0,90,,,,,,,,,,
,,,18.0,90,1.7395926713943481,0.559322033898305,0.4145,142.34,2.413,,,,,
0.5834,5.347636699676514,7.285714285714286e-05,19.0,95,,,,,,,,,,
,,,19.0,95,2.027097702026367,0.5423728813559322,0.4131,142.817,2.421,,,,,
0.4956,4.0324859619140625,7.142857142857143e-05,20.0,100,,,,,,,,,,
,,,20.0,100,1.7316292524337769,0.6101694915254238,0.4136,142.635,2.418,,,,,
0.4761,5.051790714263916,7e-05,21.0,105,,,,,,,,,,
,,,21.0,105,2.0576021671295166,0.5254237288135594,0.4141,142.49,2.415,,,,,
0.4483,5.907425880432129,6.857142857142858e-05,22.0,110,,,,,,,,,,
,,,22.0,110,1.7850397825241089,0.559322033898305,0.4138,142.594,2.417,,,,,
0.475,3.4195828437805176,6.714285714285714e-05,23.0,115,,,,,,,,,,
,,,23.0,115,1.7529209852218628,0.6101694915254238,0.414,142.529,2.416,,,,,
0.3429,1.101760745048523,6.571428571428571e-05,24.0,120,,,,,,,,,,
,,,24.0,120,1.8560274839401245,0.5084745762711864,0.4151,142.132,2.409,,,,,
0.335,5.138587474822998,6.428571428571429e-05,25.0,125,,,,,,,,,,
,,,25.0,125,1.8431423902511597,0.5932203389830508,0.4145,142.347,2.413,,,,,
0.2842,2.5385022163391113,6.285714285714286e-05,26.0,130,,,,,,,,,,
,,,26.0,130,1.9340413808822632,0.5423728813559322,0.4135,142.684,2.418,,,,,
,,,26.0,130,,,,,,282.1666,68.222,1.24,6663917123635200.0,1.572640633583069
