loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6528,28.37906265258789,9.5e-05,1.0,5,,,,,,,,,,
,,,1.0,5,2.1533756256103516,0.4745762711864407,0.4134,142.722,2.419,,,,,
1.0176,12.108931541442871,9e-05,2.0,10,,,,,,,,,,
,,,2.0,10,2.0090830326080322,0.4745762711864407,0.5211,113.222,1.919,,,,,
0.6687,9.690062522888184,8.5e-05,3.0,15,,,,,,,,,,
,,,3.0,15,2.146261215209961,0.4406779661016949,0.4143,142.392,2.413,,,,,
0.5484,3.5752060413360596,8e-05,4.0,20,,,,,,,,,,
,,,4.0,20,1.962274193763733,0.4915254237288136,0.4136,142.635,2.418,,,,,
0.4692,4.6624650955200195,7.500000000000001e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.4074652194976807,0.4067796610169492,0.4136,142.653,2.418,,,,,
0.4127,2.981992721557617,7e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.090812921524048,0.4915254237288136,0.4145,142.336,2.412,,,,,
0.3683,4.331126689910889,6.500000000000001e-05,7.0,35,,,,,,,,,,
,,,7.0,35,2.087937116622925,0.5254237288135594,0.415,142.167,2.41,,,,,
0.3376,3.343909502029419,6e-05,8.0,40,,,,,,,,,,
,,,8.0,40,2.210264205932617,0.4745762711864407,0.4153,142.057,2.408,,,,,
0.3222,7.834081649780273,5.500000000000001e-05,9.0,45,,,,,,,,,,
,,,9.0,45,2.1984803676605225,0.5084745762711864,0.415,142.154,2.409,,,,,
0.2614,6.704245090484619,5e-05,10.0,50,,,,,,,,,,
,,,10.0,50,2.066025733947754,0.5423728813559322,0.4157,141.923,2.405,,,,,
0.2412,4.415334224700928,4.5e-05,11.0,55,,,,,,,,,,
,,,11.0,55,2.1876094341278076,0.4067796610169492,0.4169,141.516,2.399,,,,,
0.205,2.975131034851074,4e-05,12.0,60,,,,,,,,,,
,,,12.0,60,2.1756231784820557,0.4576271186440678,0.416,141.825,2.404,,,,,
0.2056,4.680403709411621,3.5e-05,13.0,65,,,,,,,,,,
,,,13.0,65,2.104435920715332,0.5084745762711864,0.5237,112.668,1.91,,,,,
0.1787,2.1644418239593506,3e-05,14.0,70,,,,,,,,,,
,,,14.0,70,2.0996365547180176,0.576271186440678,0.4167,141.573,2.4,,,,,
0.2109,4.446042060852051,2.5e-05,15.0,75,,,,,,,,,,
,,,15.0,75,2.215914011001587,0.4915254237288136,0.4168,141.549,2.399,,,,,
0.1908,2.535477876663208,2e-05,16.0,80,,,,,,,,,,
,,,16.0,80,2.3298068046569824,0.4576271186440678,0.4164,141.685,2.401,,,,,
0.179,5.675788879394531,1.5e-05,17.0,85,,,,,,,,,,
,,,17.0,85,2.278108835220337,0.4745762711864407,0.4156,141.947,2.406,,,,,
0.1774,3.5640673637390137,1e-05,18.0,90,,,,,,,,,,
,,,18.0,90,2.2835817337036133,0.4915254237288136,0.4179,141.199,2.393,,,,,
0.143,2.029334783554077,5e-06,19.0,95,,,,,,,,,,
,,,19.0,95,2.2940495014190674,0.5084745762711864,0.4174,141.354,2.396,,,,,
0.1482,1.8317540884017944,0.0,20.0,100,,,,,,,,,,
,,,20.0,100,2.296222448348999,0.5254237288135594,0.4169,141.505,2.398,,,,,
,,,20.0,100,,,,,,219.0681,25.106,0.456,5126090095104000.0,0.39693878054618836
