loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3898,41.462223052978516,9.857142857142858e-05,1.0,9,,,,,,,,,,
,,,1.0,9,3.121941328048706,0.15625,0.8399,76.199,2.381,,,,,
3.0511,7.675216197967529,9.714285714285715e-05,2.0,18,,,,,,,,,,
,,,2.0,18,3.1561644077301025,0.109375,0.8391,76.27,2.383,,,,,
2.9858,6.020646095275879,9.571428571428573e-05,3.0,27,,,,,,,,,,
,,,3.0,27,2.9334046840667725,0.15625,0.8363,76.526,2.391,,,,,
3.0005,7.164497375488281,9.428571428571429e-05,4.0,36,,,,,,,,,,
,,,4.0,36,2.9341533184051514,0.15625,0.8413,76.076,2.377,,,,,
3.3154,8.913341522216797,9.285714285714286e-05,5.0,45,,,,,,,,,,
,,,5.0,45,3.160524845123291,0.15625,0.8383,76.346,2.386,,,,,
2.9953,5.532407283782959,9.142857142857143e-05,6.0,54,,,,,,,,,,
,,,6.0,54,2.911735773086548,0.15625,0.8392,76.266,2.383,,,,,
2.9589,7.061321258544922,9e-05,7.0,63,,,,,,,,,,
,,,7.0,63,2.898491859436035,0.15625,0.8382,76.356,2.386,,,,,
2.9531,8.016223907470703,8.857142857142857e-05,8.0,72,,,,,,,,,,
,,,8.0,72,2.903597116470337,0.15625,0.8395,76.236,2.382,,,,,
2.9403,7.226381301879883,8.714285714285715e-05,9.0,81,,,,,,,,,,
,,,9.0,81,2.872117042541504,0.15625,0.8419,76.015,2.375,,,,,
2.9187,5.779886722564697,8.571428571428571e-05,10.0,90,,,,,,,,,,
,,,10.0,90,2.8663952350616455,0.15625,0.8451,75.731,2.367,,,,,
2.9298,7.748202800750732,8.428571428571429e-05,11.0,99,,,,,,,,,,
,,,11.0,99,2.8929269313812256,0.15625,0.8415,76.052,2.377,,,,,
2.9271,6.8250532150268555,8.285714285714287e-05,12.0,108,,,,,,,,,,
,,,12.0,108,2.8701813220977783,0.15625,0.8394,76.246,2.383,,,,,
2.946,8.919173240661621,8.142857142857143e-05,13.0,117,,,,,,,,,,
,,,13.0,117,2.8709940910339355,0.15625,0.8435,75.876,2.371,,,,,
2.9395,9.547197341918945,8e-05,14.0,126,,,,,,,,,,
,,,14.0,126,2.871584892272949,0.15625,0.8397,76.219,2.382,,,,,
2.941,6.6588873863220215,7.857142857142858e-05,15.0,135,,,,,,,,,,
,,,15.0,135,2.8729095458984375,0.15625,0.8391,76.274,2.384,,,,,
2.9392,7.727035045623779,7.714285714285715e-05,16.0,144,,,,,,,,,,
,,,16.0,144,2.873053550720215,0.15625,0.8403,76.167,2.38,,,,,
,,,16.0,144,,,,,,230.1302,82.127,2.738,4026310765608960.0,3.0082339180840387
