loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2507,3.6579179763793945,9.857142857142858e-05,1.0,9,,,,,,,,,,
,,,1.0,9,2.957242012023926,0.1864406779661017,0.9173,64.321,2.18,,,,,
2.84,7.395632743835449,9.714285714285715e-05,2.0,18,,,,,,,,,,
,,,2.0,18,2.7761025428771973,0.22033898305084745,0.9345,63.138,2.14,,,,,
2.6154,5.382369518280029,9.571428571428573e-05,3.0,27,,,,,,,,,,
,,,3.0,27,2.4219114780426025,0.3220338983050847,0.925,63.785,2.162,,,,,
2.4165,6.716371059417725,9.428571428571429e-05,4.0,36,,,,,,,,,,
,,,4.0,36,2.343750476837158,0.3389830508474576,0.9234,63.893,2.166,,,,,
2.1188,6.362139701843262,9.285714285714286e-05,5.0,45,,,,,,,,,,
,,,5.0,45,2.022507429122925,0.4067796610169492,0.9309,63.377,2.148,,,,,
1.9213,7.719947338104248,9.142857142857143e-05,6.0,54,,,,,,,,,,
,,,6.0,54,1.9956856966018677,0.4406779661016949,0.9267,63.668,2.158,,,,,
1.7117,7.262548446655273,9e-05,7.0,63,,,,,,,,,,
,,,7.0,63,1.8084405660629272,0.5254237288135594,0.9273,63.623,2.157,,,,,
1.5149,6.277409553527832,8.857142857142857e-05,8.0,72,,,,,,,,,,
,,,8.0,72,1.7716249227523804,0.5423728813559322,0.9244,63.827,2.164,,,,,
1.3502,6.6828293800354,8.714285714285715e-05,9.0,81,,,,,,,,,,
,,,9.0,81,1.759690284729004,0.5423728813559322,0.9244,63.828,2.164,,,,,
1.2342,5.900937557220459,8.571428571428571e-05,10.0,90,,,,,,,,,,
,,,10.0,90,1.6593942642211914,0.576271186440678,0.9281,63.571,2.155,,,,,
1.1261,5.576507568359375,8.428571428571429e-05,11.0,99,,,,,,,,,,
,,,11.0,99,1.7104705572128296,0.576271186440678,0.9279,63.586,2.155,,,,,
0.9674,6.649219036102295,8.285714285714287e-05,12.0,108,,,,,,,,,,
,,,12.0,108,1.6770119667053223,0.576271186440678,0.9234,63.892,2.166,,,,,
0.897,4.115222930908203,8.142857142857143e-05,13.0,117,,,,,,,,,,
,,,13.0,117,1.6793135404586792,0.576271186440678,0.929,63.506,2.153,,,,,
0.8315,6.4433274269104,8e-05,14.0,126,,,,,,,,,,
,,,14.0,126,1.693556785583496,0.5932203389830508,0.9211,64.055,2.171,,,,,
0.7338,4.533847808837891,7.857142857142858e-05,15.0,135,,,,,,,,,,
,,,15.0,135,1.6333369016647339,0.5932203389830508,0.9288,63.52,2.153,,,,,
0.6906,5.366368770599365,7.714285714285715e-05,16.0,144,,,,,,,,,,
,,,16.0,144,1.6277512311935425,0.6101694915254238,0.9261,63.71,2.16,,,,,
0.6401,4.412540435791016,7.571428571428571e-05,17.0,153,,,,,,,,,,
,,,17.0,153,1.5852766036987305,0.6101694915254238,0.9272,63.636,2.157,,,,,
0.5378,3.9797182083129883,7.428571428571429e-05,18.0,162,,,,,,,,,,
,,,18.0,162,1.5635221004486084,0.6101694915254238,0.9251,63.777,2.162,,,,,
0.5359,4.77752685546875,7.285714285714286e-05,19.0,171,,,,,,,,,,
,,,19.0,171,1.5512268543243408,0.6101694915254238,0.9293,63.491,2.152,,,,,
0.4685,4.370772838592529,7.142857142857143e-05,20.0,180,,,,,,,,,,
,,,20.0,180,1.7297289371490479,0.5932203389830508,1.0415,56.651,1.92,,,,,
0.4665,4.875544548034668,7e-05,21.0,189,,,,,,,,,,
,,,21.0,189,1.6334753036499023,0.6101694915254238,0.929,63.508,2.153,,,,,
0.4226,5.697010040283203,6.857142857142858e-05,22.0,198,,,,,,,,,,
,,,22.0,198,1.6504716873168945,0.6101694915254238,0.9294,63.485,2.152,,,,,
0.3807,4.423008441925049,6.714285714285714e-05,23.0,207,,,,,,,,,,
,,,23.0,207,1.6021878719329834,0.6101694915254238,0.9459,62.373,2.114,,,,,
0.3581,2.234762191772461,6.571428571428571e-05,24.0,216,,,,,,,,,,
,,,24.0,216,1.728851318359375,0.6101694915254238,0.9249,63.788,2.162,,,,,
0.3553,3.793327808380127,6.428571428571429e-05,25.0,225,,,,,,,,,,
,,,25.0,225,1.6480222940444946,0.6440677966101694,0.9283,63.56,2.155,,,,,
,,,25.0,225,,,,,,366.8981,52.467,1.717,4199529797760000.0,1.2154233900705973
