loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.307,5.485454559326172,9.857142857142858e-05,1.0,9,,,,,,,,,,
,,,1.0,9,2.9450674057006836,0.16666666666666666,0.2656,225.923,7.531,,,,,
2.9991,6.0662007331848145,9.714285714285715e-05,2.0,18,,,,,,,,,,
,,,2.0,18,2.773895502090454,0.16666666666666666,0.2664,225.189,7.506,,,,,
2.8395,7.555917739868164,9.571428571428573e-05,3.0,27,,,,,,,,,,
,,,3.0,27,2.6081953048706055,0.21666666666666667,0.2671,224.595,7.487,,,,,
2.7077,10.241974830627441,9.428571428571429e-05,4.0,36,,,,,,,,,,
,,,4.0,36,2.4766650199890137,0.2833333333333333,0.2668,224.856,7.495,,,,,
2.5212,7.171570301055908,9.285714285714286e-05,5.0,45,,,,,,,,,,
,,,5.0,45,2.2811508178710938,0.31666666666666665,0.2673,224.436,7.481,,,,,
2.3501,10.393918991088867,9.142857142857143e-05,6.0,54,,,,,,,,,,
,,,6.0,54,2.354144334793091,0.21666666666666667,0.2672,224.571,7.486,,,,,
2.2279,13.255352973937988,9e-05,7.0,63,,,,,,,,,,
,,,7.0,63,2.0399527549743652,0.48333333333333334,0.2675,224.307,7.477,,,,,
1.9846,7.735413074493408,8.857142857142857e-05,8.0,72,,,,,,,,,,
,,,8.0,72,1.7127712965011597,0.5666666666666667,0.2676,224.191,7.473,,,,,
1.817,6.691274642944336,8.714285714285715e-05,9.0,81,,,,,,,,,,
,,,9.0,81,1.717147707939148,0.6833333333333333,0.2674,224.413,7.48,,,,,
1.6334,7.364606857299805,8.571428571428571e-05,10.0,90,,,,,,,,,,
,,,10.0,90,1.4306360483169556,0.7166666666666667,0.2665,225.116,7.504,,,,,
1.4301,6.1573591232299805,8.428571428571429e-05,11.0,99,,,,,,,,,,
,,,11.0,99,1.3948849439620972,0.6666666666666666,0.383,156.649,5.222,,,,,
1.2563,5.249809265136719,8.285714285714287e-05,12.0,108,,,,,,,,,,
,,,12.0,108,1.2236005067825317,0.7,0.2667,224.93,7.498,,,,,
1.138,6.758269786834717,8.142857142857143e-05,13.0,117,,,,,,,,,,
,,,13.0,117,1.305417776107788,0.6833333333333333,0.2666,225.079,7.503,,,,,
0.9866,6.0084228515625,8e-05,14.0,126,,,,,,,,,,
,,,14.0,126,1.17729651927948,0.7,0.2665,225.14,7.505,,,,,
0.9187,4.887210369110107,7.857142857142858e-05,15.0,135,,,,,,,,,,
,,,15.0,135,1.1360682249069214,0.7166666666666667,0.2667,224.941,7.498,,,,,
0.7543,4.98231840133667,7.714285714285715e-05,16.0,144,,,,,,,,,,
,,,16.0,144,1.2970250844955444,0.7,0.2675,224.258,7.475,,,,,
0.7026,4.175518035888672,7.571428571428571e-05,17.0,153,,,,,,,,,,
,,,17.0,153,1.1932666301727295,0.7333333333333333,0.2678,224.065,7.469,,,,,
0.6304,4.906433582305908,7.428571428571429e-05,18.0,162,,,,,,,,,,
,,,18.0,162,1.1723594665527344,0.6833333333333333,0.2679,223.993,7.466,,,,,
0.592,6.053914546966553,7.285714285714286e-05,19.0,171,,,,,,,,,,
,,,19.0,171,1.162284016609192,0.7333333333333333,0.2673,224.469,7.482,,,,,
0.4839,4.053191661834717,7.142857142857143e-05,20.0,180,,,,,,,,,,
,,,20.0,180,0.9806167483329773,0.75,0.2681,223.798,7.46,,,,,
0.4475,4.973024845123291,7e-05,21.0,189,,,,,,,,,,
,,,21.0,189,1.0263067483901978,0.7666666666666667,0.2676,224.232,7.474,,,,,
0.4081,3.620889663696289,6.857142857142858e-05,22.0,198,,,,,,,,,,
,,,22.0,198,1.0025681257247925,0.7833333333333333,0.2679,223.944,7.465,,,,,
0.3785,3.6347994804382324,6.714285714285714e-05,23.0,207,,,,,,,,,,
,,,23.0,207,0.9849333167076111,0.8,0.2683,223.655,7.455,,,,,
0.3835,5.18890905380249,6.571428571428571e-05,24.0,216,,,,,,,,,,
,,,24.0,216,1.0226134061813354,0.7666666666666667,0.2681,223.796,7.46,,,,,
0.3013,1.4934521913528442,6.428571428571429e-05,25.0,225,,,,,,,,,,
,,,25.0,225,1.0453966856002808,0.7666666666666667,0.2679,223.946,7.465,,,,,
0.2951,6.315511703491211,6.285714285714286e-05,26.0,234,,,,,,,,,,
,,,26.0,234,1.1412136554718018,0.7666666666666667,0.2673,224.487,7.483,,,,,
,,,26.0,234,,,,,,124.4463,154.123,5.062,1874857555144704.0,1.3651689015902007
