loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2327,7.973039627075195,9.857142857142858e-05,1.0,9,,,,,,,,,,
,,,1.0,9,2.888953924179077,0.2,0.7904,75.91,2.53,,,,,
3.0936,7.029947280883789,9.714285714285715e-05,2.0,18,,,,,,,,,,
,,,2.0,18,2.8147428035736084,0.16666666666666666,0.795,75.475,2.516,,,,,
3.0561,6.135319709777832,9.571428571428573e-05,3.0,27,,,,,,,,,,
,,,3.0,27,2.796816349029541,0.16666666666666666,0.7905,75.9,2.53,,,,,
2.9549,6.18754243850708,9.428571428571429e-05,4.0,36,,,,,,,,,,
,,,4.0,36,2.8278157711029053,0.16666666666666666,0.7892,76.025,2.534,,,,,
2.9645,6.73888635635376,9.285714285714286e-05,5.0,45,,,,,,,,,,
,,,5.0,45,2.7951438426971436,0.16666666666666666,0.7908,75.872,2.529,,,,,
2.9675,8.006061553955078,9.142857142857143e-05,6.0,54,,,,,,,,,,
,,,6.0,54,2.803154468536377,0.16666666666666666,0.7921,75.748,2.525,,,,,
2.9922,11.507380485534668,9e-05,7.0,63,,,,,,,,,,
,,,7.0,63,2.7707834243774414,0.16666666666666666,0.793,75.659,2.522,,,,,
2.9796,6.380891799926758,8.857142857142857e-05,8.0,72,,,,,,,,,,
,,,8.0,72,2.7717487812042236,0.16666666666666666,0.795,75.471,2.516,,,,,
2.9755,9.464635848999023,8.714285714285715e-05,9.0,81,,,,,,,,,,
,,,9.0,81,2.7684743404388428,0.16666666666666666,0.7952,75.454,2.515,,,,,
2.9691,6.518005847930908,8.571428571428571e-05,10.0,90,,,,,,,,,,
,,,10.0,90,2.7758021354675293,0.16666666666666666,0.7996,75.04,2.501,,,,,
2.9571,7.453155517578125,8.428571428571429e-05,11.0,99,,,,,,,,,,
,,,11.0,99,2.7713587284088135,0.16666666666666666,0.7911,75.842,2.528,,,,,
2.9627,7.964961051940918,8.285714285714287e-05,12.0,108,,,,,,,,,,
,,,12.0,108,2.7716972827911377,0.16666666666666666,0.7933,75.633,2.521,,,,,
2.9416,8.485084533691406,8.142857142857143e-05,13.0,117,,,,,,,,,,
,,,13.0,117,2.7842636108398438,0.16666666666666666,0.7967,75.31,2.51,,,,,
2.9729,6.941558361053467,8e-05,14.0,126,,,,,,,,,,
,,,14.0,126,2.778963565826416,0.16666666666666666,0.7937,75.592,2.52,,,,,
2.9781,8.767149925231934,7.857142857142858e-05,15.0,135,,,,,,,,,,
,,,15.0,135,2.7712314128875732,0.16666666666666666,0.7922,75.739,2.525,,,,,
,,,15.0,135,,,,,,215.8674,88.851,2.918,3830587325614080.0,2.999875541969582
