loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3362,3.915341377258301,9.857142857142859e-06,1.0,17,,,,,,,,,,
,,,1.0,17,3.306396484375,0.078125,0.2736,233.954,14.622,,,,,
3.1644,6.95288610458374,9.714285714285715e-06,2.0,34,,,,,,,,,,
,,,2.0,34,3.0504150390625,0.171875,0.2735,234.016,14.626,,,,,
2.9825,8.076726913452148,9.571428571428573e-06,3.0,51,,,,,,,,,,
,,,3.0,51,2.9224853515625,0.171875,0.2736,233.951,14.622,,,,,
2.8533,9.69677734375,9.42857142857143e-06,4.0,68,,,,,,,,,,
,,,4.0,68,2.7958984375,0.171875,0.2734,234.114,14.632,,,,,
2.7062,12.223270416259766,9.285714285714288e-06,5.0,85,,,,,,,,,,
,,,5.0,85,2.65966796875,0.359375,0.2734,234.062,14.629,,,,,
2.4783,12.176031112670898,9.142857142857144e-06,6.0,102,,,,,,,,,,
,,,6.0,102,2.47216796875,0.421875,0.2735,234.04,14.628,,,,,
2.2668,12.009889602661133,9e-06,7.0,119,,,,,,,,,,
,,,7.0,119,2.29718017578125,0.453125,0.2734,234.085,14.63,,,,,
2.0969,11.485994338989258,8.857142857142858e-06,8.0,136,,,,,,,,,,
,,,8.0,136,2.2166748046875,0.4375,0.2735,233.981,14.624,,,,,
1.8973,15.17639446258545,8.714285714285715e-06,9.0,153,,,,,,,,,,
,,,9.0,153,2.05023193359375,0.484375,0.2735,234.027,14.627,,,,,
1.7727,19.70327377319336,8.571428571428571e-06,10.0,170,,,,,,,,,,
,,,10.0,170,1.9789581298828125,0.5,0.2735,234.009,14.626,,,,,
1.6617,13.178318977355957,8.428571428571429e-06,11.0,187,,,,,,,,,,
,,,11.0,187,1.9167938232421875,0.53125,0.2734,234.131,14.633,,,,,
1.5089,11.297506332397461,8.285714285714287e-06,12.0,204,,,,,,,,,,
,,,12.0,204,1.810577392578125,0.53125,0.2733,234.15,14.634,,,,,
1.4106,18.57001495361328,8.142857142857143e-06,13.0,221,,,,,,,,,,
,,,13.0,221,1.822052001953125,0.59375,0.2734,234.106,14.632,,,,,
1.3186,13.939160346984863,8.000000000000001e-06,14.0,238,,,,,,,,,,
,,,14.0,238,1.7199249267578125,0.5625,0.2734,234.049,14.628,,,,,
1.2234,25.48678970336914,7.857142857142858e-06,15.0,255,,,,,,,,,,
,,,15.0,255,1.7257308959960938,0.578125,0.2733,234.143,14.634,,,,,
1.1243,16.15255355834961,7.714285714285716e-06,16.0,272,,,,,,,,,,
,,,16.0,272,1.6281356811523438,0.578125,0.2733,234.213,14.638,,,,,
1.0601,11.063118934631348,7.571428571428572e-06,17.0,289,,,,,,,,,,
,,,17.0,289,1.6355056762695312,0.5625,0.2737,233.804,14.613,,,,,
0.9843,15.668469429016113,7.428571428571429e-06,18.0,306,,,,,,,,,,
,,,18.0,306,1.5875320434570312,0.59375,0.2734,234.059,14.629,,,,,
0.9205,13.414704322814941,7.285714285714286e-06,19.0,323,,,,,,,,,,
,,,19.0,323,1.5727691650390625,0.578125,0.2735,233.993,14.625,,,,,
0.8905,13.852537155151367,7.1428571428571436e-06,20.0,340,,,,,,,,,,
,,,20.0,340,1.56048583984375,0.59375,0.2734,234.079,14.63,,,,,
0.8403,13.49559497833252,7e-06,21.0,357,,,,,,,,,,
,,,21.0,357,1.528350830078125,0.578125,0.2736,233.887,14.618,,,,,
0.7855,15.225553512573242,6.857142857142858e-06,22.0,374,,,,,,,,,,
,,,22.0,374,1.558197021484375,0.609375,0.2735,233.975,14.623,,,,,
0.7445,6.994046688079834,6.714285714285714e-06,23.0,391,,,,,,,,,,
,,,23.0,391,1.5211563110351562,0.59375,0.2735,234.025,14.627,,,,,
0.7076,12.98022174835205,6.571428571428572e-06,24.0,408,,,,,,,,,,
,,,24.0,408,1.5380439758300781,0.59375,0.274,233.619,14.601,,,,,
0.6693,16.77676773071289,6.4285714285714295e-06,25.0,425,,,,,,,,,,
,,,25.0,425,1.4620513916015625,0.625,0.2735,233.996,14.625,,,,,
0.6461,14.708516120910645,6.285714285714286e-06,26.0,442,,,,,,,,,,
,,,26.0,442,1.4694328308105469,0.625,0.2738,233.717,14.607,,,,,
0.6071,16.384307861328125,6.142857142857144e-06,27.0,459,,,,,,,,,,
,,,27.0,459,1.4798583984375,0.625,0.2738,233.746,14.609,,,,,
0.6036,16.371639251708984,6e-06,28.0,476,,,,,,,,,,
,,,28.0,476,1.5140304565429688,0.609375,0.2737,233.874,14.617,,,,,
0.568,6.19002103805542,5.857142857142858e-06,29.0,493,,,,,,,,,,
,,,29.0,493,1.4792442321777344,0.59375,0.2739,233.657,14.604,,,,,
0.5373,7.231276035308838,5.7142857142857145e-06,30.0,510,,,,,,,,,,
,,,30.0,510,1.5347251892089844,0.65625,0.2736,233.923,14.62,,,,,
0.5409,21.48111915588379,5.571428571428572e-06,31.0,527,,,,,,,,,,
,,,31.0,527,1.4790725708007812,0.625,0.2735,233.996,14.625,,,,,
,,,31.0,527,,,,,,169.7868,111.316,7.009,2202773404907520.0,1.44864285557727
