loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6082,15.199779510498047,9.857142857142859e-06,1.0,18,,,,,,,,,,
,,,1.0,18,1.9859682321548462,0.5254237288135594,1.209,48.802,3.309,,,,,
1.5278,11.83019733428955,9.714285714285715e-06,2.0,36,,,,,,,,,,
,,,2.0,36,1.980340600013733,0.5254237288135594,1.2059,48.925,3.317,,,,,
1.4575,8.970980644226074,9.571428571428573e-06,3.0,54,,,,,,,,,,
,,,3.0,54,1.9679887294769287,0.5423728813559322,1.205,48.961,3.319,,,,,
1.4897,22.090030670166016,9.42857142857143e-06,4.0,72,,,,,,,,,,
,,,4.0,72,1.9752837419509888,0.559322033898305,1.2054,48.947,3.318,,,,,
1.5425,22.567867279052734,9.285714285714288e-06,5.0,90,,,,,,,,,,
,,,5.0,90,1.926906943321228,0.559322033898305,1.2048,48.97,3.32,,,,,
1.4438,17.271366119384766,9.142857142857144e-06,6.0,108,,,,,,,,,,
,,,6.0,108,1.9261993169784546,0.576271186440678,1.2057,48.934,3.318,,,,,
1.4194,12.322126388549805,9e-06,7.0,126,,,,,,,,,,
,,,7.0,126,1.9020291566848755,0.559322033898305,1.206,48.92,3.317,,,,,
1.345,11.642984390258789,8.857142857142858e-06,8.0,144,,,,,,,,,,
,,,8.0,144,1.9002251625061035,0.559322033898305,1.4532,40.6,2.753,,,,,
1.3487,15.834352493286133,8.714285714285715e-06,9.0,162,,,,,,,,,,
,,,9.0,162,1.896926999092102,0.559322033898305,1.4539,40.581,2.751,,,,,
1.2845,8.47175121307373,8.571428571428571e-06,10.0,180,,,,,,,,,,
,,,10.0,180,1.9078181982040405,0.559322033898305,1.4601,40.408,2.74,,,,,
1.2864,11.557379722595215,8.428571428571429e-06,11.0,198,,,,,,,,,,
,,,11.0,198,1.917523741722107,0.559322033898305,1.4529,40.609,2.753,,,,,
1.3372,16.6375675201416,8.285714285714287e-06,12.0,216,,,,,,,,,,
,,,12.0,216,1.9233274459838867,0.576271186440678,1.4583,40.459,2.743,,,,,
1.2822,14.867315292358398,8.142857142857143e-06,13.0,234,,,,,,,,,,
,,,13.0,234,1.8742841482162476,0.576271186440678,1.4561,40.52,2.747,,,,,
1.2872,17.525836944580078,8.000000000000001e-06,14.0,252,,,,,,,,,,
,,,14.0,252,1.9019570350646973,0.5423728813559322,1.4556,40.534,2.748,,,,,
1.1847,10.379054069519043,7.857142857142858e-06,15.0,270,,,,,,,,,,
,,,15.0,270,1.9016714096069336,0.559322033898305,1.4635,40.314,2.733,,,,,
1.2866,20.982376098632812,7.714285714285716e-06,16.0,288,,,,,,,,,,
,,,16.0,288,1.876052975654602,0.5254237288135594,1.5136,38.979,2.643,,,,,
1.2033,13.749286651611328,7.571428571428572e-06,17.0,306,,,,,,,,,,
,,,17.0,306,1.862147331237793,0.5423728813559322,1.5126,39.007,2.645,,,,,
1.2136,15.736114501953125,7.428571428571429e-06,18.0,324,,,,,,,,,,
,,,18.0,324,1.8742945194244385,0.559322033898305,1.458,40.467,2.744,,,,,
1.1101,6.024106025695801,7.285714285714286e-06,19.0,342,,,,,,,,,,
,,,19.0,342,1.8854649066925049,0.559322033898305,1.4543,40.568,2.75,,,,,
1.1491,19.219676971435547,7.1428571428571436e-06,20.0,360,,,,,,,,,,
,,,20.0,360,1.8601632118225098,0.559322033898305,1.456,40.523,2.747,,,,,
1.0997,16.24345588684082,7e-06,21.0,378,,,,,,,,,,
,,,21.0,378,1.8619176149368286,0.559322033898305,1.4548,40.556,2.75,,,,,
1.0979,6.96984338760376,6.857142857142858e-06,22.0,396,,,,,,,,,,
,,,22.0,396,1.850759744644165,0.559322033898305,1.457,40.494,2.745,,,,,
1.1123,16.33980369567871,6.714285714285714e-06,23.0,414,,,,,,,,,,
,,,23.0,414,1.8706820011138916,0.559322033898305,1.4598,40.417,2.74,,,,,
1.072,12.054733276367188,6.571428571428572e-06,24.0,432,,,,,,,,,,
,,,24.0,432,1.8604220151901245,0.559322033898305,1.4594,40.428,2.741,,,,,
1.0399,7.100518226623535,6.4285714285714295e-06,25.0,450,,,,,,,,,,
,,,25.0,450,1.8395787477493286,0.559322033898305,1.4581,40.465,2.743,,,,,
1.0154,11.633007049560547,6.285714285714286e-06,26.0,468,,,,,,,,,,
,,,26.0,468,1.8494478464126587,0.559322033898305,1.4626,40.34,2.735,,,,,
1.0417,12.910582542419434,6.142857142857144e-06,27.0,486,,,,,,,,,,
,,,27.0,486,1.8432742357254028,0.559322033898305,1.4586,40.45,2.742,,,,,
1.0324,9.428860664367676,6e-06,28.0,504,,,,,,,,,,
,,,28.0,504,1.839732050895691,0.559322033898305,1.4554,40.54,2.748,,,,,
0.9839,16.27801513671875,5.857142857142858e-06,29.0,522,,,,,,,,,,
,,,29.0,522,1.8387192487716675,0.559322033898305,1.5355,38.424,2.605,,,,,
1.0211,13.839932441711426,5.7142857142857145e-06,30.0,540,,,,,,,,,,
,,,30.0,540,1.836399793624878,0.576271186440678,1.4557,40.531,2.748,,,,,
0.9768,8.787369728088379,5.571428571428572e-06,31.0,558,,,,,,,,,,
,,,31.0,558,1.8524624109268188,0.576271186440678,1.4564,40.511,2.747,,,,,
0.9954,17.744958877563477,5.428571428571429e-06,32.0,576,,,,,,,,,,
,,,32.0,576,1.8348429203033447,0.576271186440678,1.4621,40.352,2.736,,,,,
0.9823,13.49215316772461,5.285714285714286e-06,33.0,594,,,,,,,,,,
,,,33.0,594,1.8672184944152832,0.559322033898305,1.4602,40.406,2.739,,,,,
0.9631,10.185846328735352,5.142857142857142e-06,34.0,612,,,,,,,,,,
,,,34.0,612,1.8571778535842896,0.576271186440678,1.4507,40.669,2.757,,,,,
0.925,12.856229782104492,5e-06,35.0,630,,,,,,,,,,
,,,35.0,630,1.8289670944213867,0.559322033898305,1.452,40.634,2.755,,,,,
0.986,18.927291870117188,4.857142857142858e-06,36.0,648,,,,,,,,,,
,,,36.0,648,1.8571043014526367,0.576271186440678,1.4574,40.483,2.745,,,,,
0.9384,17.30181884765625,4.714285714285715e-06,37.0,666,,,,,,,,,,
,,,37.0,666,1.8652560710906982,0.576271186440678,1.4589,40.441,2.742,,,,,
0.8818,8.476162910461426,4.571428571428572e-06,38.0,684,,,,,,,,,,
,,,38.0,684,1.8642971515655518,0.576271186440678,1.4567,40.501,2.746,,,,,
0.9075,11.060992240905762,4.428571428571429e-06,39.0,702,,,,,,,,,,
,,,39.0,702,1.859141230583191,0.576271186440678,1.4587,40.446,2.742,,,,,
0.8919,8.699007034301758,4.2857142857142855e-06,40.0,720,,,,,,,,,,
,,,40.0,720,1.8535619974136353,0.576271186440678,1.4544,40.565,2.75,,,,,
0.8917,15.956360816955566,4.1428571428571435e-06,41.0,738,,,,,,,,,,
