loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.2031,21.13225555419922,9.933333333333334e-06,1.0,140,,,,,,,,,,
,,,1.0,140,1.3908934593200684,0.6732673267326733,8.7995,34.434,4.318,,,,,
0.7739,14.205863952636719,9.866666666666668e-06,2.0,280,,,,,,,,,,
,,,2.0,280,1.1592538356781006,0.7161716171617162,8.8114,34.387,4.313,,,,,
0.4701,18.097021102905273,9.800000000000001e-06,3.0,420,,,,,,,,,,
,,,3.0,420,1.1476454734802246,0.7194719471947195,8.8144,34.376,4.311,,,,,
0.3642,23.715633392333984,9.733333333333334e-06,4.0,560,,,,,,,,,,
,,,4.0,560,1.1894539594650269,0.7326732673267327,8.8131,34.381,4.312,,,,,
0.3208,15.679959297180176,9.666666666666667e-06,5.0,700,,,,,,,,,,
,,,5.0,700,1.2104055881500244,0.7326732673267327,8.8277,34.324,4.305,,,,,
0.3348,18.50271224975586,9.600000000000001e-06,6.0,840,,,,,,,,,,
,,,6.0,840,1.1931114196777344,0.7128712871287128,8.812,34.385,4.312,,,,,
0.286,17.166513442993164,9.533333333333334e-06,7.0,980,,,,,,,,,,
,,,7.0,980,1.1636964082717896,0.7392739273927392,8.8156,34.371,4.311,,,,,
0.2651,11.342202186584473,9.466666666666667e-06,8.0,1120,,,,,,,,,,
,,,8.0,1120,1.2129441499710083,0.7392739273927392,8.815,34.373,4.311,,,,,
0.2464,0.033300723880529404,9.4e-06,9.0,1260,,,,,,,,,,
,,,9.0,1260,1.1460758447647095,0.7524752475247525,8.8153,34.372,4.311,,,,,
0.2434,0.057236287742853165,9.333333333333334e-06,10.0,1400,,,,,,,,,,
,,,10.0,1400,1.114143967628479,0.7491749174917491,8.8185,34.36,4.309,,,,,
0.2185,11.678046226501465,9.266666666666667e-06,11.0,1540,,,,,,,,,,
,,,11.0,1540,1.1573349237442017,0.7326732673267327,8.8136,34.379,4.312,,,,,
0.2116,0.18607796728610992,9.200000000000002e-06,12.0,1680,,,,,,,,,,
,,,12.0,1680,1.172025442123413,0.7458745874587459,8.8156,34.371,4.311,,,,,
0.2094,0.10791819542646408,9.133333333333335e-06,13.0,1820,,,,,,,,,,
,,,13.0,1820,1.1543655395507812,0.735973597359736,8.8155,34.371,4.311,,,,,
0.2058,13.150842666625977,9.066666666666667e-06,14.0,1960,,,,,,,,,,
,,,14.0,1960,1.2076587677001953,0.7326732673267327,8.817,34.365,4.31,,,,,
0.1915,13.678471565246582,9e-06,15.0,2100,,,,,,,,,,
,,,15.0,2100,1.1994842290878296,0.759075907590759,8.8111,34.388,4.313,,,,,
0.1862,9.100335121154785,8.933333333333333e-06,16.0,2240,,,,,,,,,,
,,,16.0,2240,1.1753607988357544,0.7293729372937293,8.8115,34.387,4.313,,,,,
0.1723,7.38637113571167,8.866666666666668e-06,17.0,2380,,,,,,,,,,
,,,17.0,2380,1.1530388593673706,0.7293729372937293,8.8117,34.386,4.312,,,,,
0.174,0.019505644217133522,8.8e-06,18.0,2520,,,,,,,,,,
,,,18.0,2520,1.2193375825881958,0.7392739273927392,8.8177,34.363,4.31,,,,,
0.1799,0.04180271923542023,8.733333333333333e-06,19.0,2660,,,,,,,,,,
,,,19.0,2660,1.2156023979187012,0.7425742574257426,8.8158,34.37,4.31,,,,,
0.1755,7.407283306121826,8.666666666666668e-06,20.0,2800,,,,,,,,,,
,,,20.0,2800,1.1484196186065674,0.7392739273927392,8.8147,34.374,4.311,,,,,
,,,20.0,2800,,,,,,3252.6814,51.557,6.456,1.1064678700548096e+17,0.3716259159360613
