loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9508,51.55152893066406,9.933333333333334e-06,1.0,140,,,,,,,,,,
,,,1.0,140,1.5086491107940674,0.66996699669967,8.4755,35.75,4.484,,,,,
0.834,25.908540725708008,9.866666666666668e-06,2.0,280,,,,,,,,,,
,,,2.0,280,1.2304073572158813,0.7293729372937293,8.2665,36.654,4.597,,,,,
0.5727,21.467227935791016,9.800000000000001e-06,3.0,420,,,,,,,,,,
,,,3.0,420,1.178222417831421,0.7227722772277227,8.4651,35.794,4.489,,,,,
0.4397,23.995832443237305,9.733333333333334e-06,4.0,560,,,,,,,,,,
,,,4.0,560,1.3345947265625,0.7458745874587459,8.4508,35.855,4.497,,,,,
0.4125,15.63719654083252,9.666666666666667e-06,5.0,700,,,,,,,,,,
,,,5.0,700,1.503782868385315,0.7491749174917491,8.4749,35.752,4.484,,,,,
0.3673,18.244720458984375,9.600000000000001e-06,6.0,840,,,,,,,,,,
,,,6.0,840,1.305124044418335,0.7326732673267327,7.7317,39.189,4.915,,,,,
0.3142,5.297972202301025,9.533333333333334e-06,7.0,980,,,,,,,,,,
,,,7.0,980,1.266895055770874,0.7458745874587459,8.4009,36.067,4.523,,,,,
0.2869,12.010833740234375,9.466666666666667e-06,8.0,1120,,,,,,,,,,
,,,8.0,1120,1.5130228996276855,0.7260726072607261,8.496,35.664,4.473,,,,,
0.2541,1.4487665891647339,9.4e-06,9.0,1260,,,,,,,,,,
,,,9.0,1260,1.4019241333007812,0.7755775577557755,8.1694,37.09,4.652,,,,,
0.2495,0.006674543488770723,9.333333333333334e-06,10.0,1400,,,,,,,,,,
,,,10.0,1400,1.4961376190185547,0.7623762376237624,8.4221,35.977,4.512,,,,,
0.2671,12.411293983459473,9.266666666666667e-06,11.0,1540,,,,,,,,,,
,,,11.0,1540,1.6672765016555786,0.768976897689769,8.4347,35.923,4.505,,,,,
0.2076,0.00021378902602009475,9.200000000000002e-06,12.0,1680,,,,,,,,,,
,,,12.0,1680,1.5701345205307007,0.7656765676567657,8.4375,35.911,4.504,,,,,
0.2166,0.06450489908456802,9.133333333333335e-06,13.0,1820,,,,,,,,,,
,,,13.0,1820,1.374694585800171,0.7623762376237624,8.444,35.883,4.5,,,,,
,,,13.0,1820,,,,,,2228.2574,75.261,9.424,5.850810349938278e+16,0.4902281572530558
