loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.1408,19.44215202331543,9.933333333333334e-06,1.0,142,,,,,,,,,,
,,,1.0,142,1.4019889831542969,0.702054794520548,8.1238,35.944,4.554,,,,,
0.9966,20.479717254638672,9.866666666666668e-06,2.0,284,,,,,,,,,,
,,,2.0,284,1.1071221828460693,0.7328767123287672,7.2796,40.112,5.083,,,,,
0.6437,56.00223922729492,9.800000000000001e-06,3.0,426,,,,,,,,,,
,,,3.0,426,1.1029993295669556,0.8013698630136986,7.3394,39.785,5.041,,,,,
0.5267,0.000671105575747788,9.733333333333334e-06,4.0,568,,,,,,,,,,
,,,4.0,568,1.022619605064392,0.797945205479452,7.362,39.663,5.026,,,,,
0.46,0.4490602910518646,9.666666666666667e-06,5.0,710,,,,,,,,,,
,,,5.0,710,1.1289259195327759,0.797945205479452,7.276,40.132,5.085,,,,,
0.4591,177.27427673339844,9.600000000000001e-06,6.0,852,,,,,,,,,,
,,,6.0,852,1.4487892389297485,0.7945205479452054,7.3741,39.598,5.018,,,,,
0.3821,3.1645317903894465e-06,9.533333333333334e-06,7.0,994,,,,,,,,,,
,,,7.0,994,1.1308513879776,0.8013698630136986,7.3494,39.731,5.034,,,,,
0.3339,0.2948978841304779,9.466666666666667e-06,8.0,1136,,,,,,,,,,
,,,8.0,1136,1.3431346416473389,0.7808219178082192,7.3651,39.646,5.024,,,,,
0.3383,0.000471550680231303,9.4e-06,9.0,1278,,,,,,,,,,
,,,9.0,1278,1.2990738153457642,0.7808219178082192,7.2021,40.543,5.137,,,,,
0.2645,0.06438758224248886,9.333333333333334e-06,10.0,1420,,,,,,,,,,
,,,10.0,1420,1.6473886966705322,0.7876712328767124,7.3713,39.613,5.019,,,,,
0.2633,3.5989094726573967e-07,9.266666666666667e-06,11.0,1562,,,,,,,,,,
,,,11.0,1562,1.4170080423355103,0.7773972602739726,7.3831,39.55,5.011,,,,,
0.2772,71.70663452148438,9.200000000000002e-06,12.0,1704,,,,,,,,,,
,,,12.0,1704,1.569067120552063,0.7773972602739726,7.3605,39.671,5.027,,,,,
0.2468,5.960869789123535,9.133333333333335e-06,13.0,1846,,,,,,,,,,
,,,13.0,1846,1.6580860614776611,0.8047945205479452,7.3815,39.558,5.013,,,,,
0.2305,0.00010513796587474644,9.066666666666667e-06,14.0,1988,,,,,,,,,,
,,,14.0,1988,1.6879911422729492,0.7945205479452054,7.2199,40.444,5.125,,,,,
,,,14.0,1988,,,,,,2184.9162,77.509,9.749,6.362866959620506e+16,0.5402491529222945
