loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.4303,10.991515159606934,9.933333333333334e-06,1.0,71,,,,,,,,,,
,,,1.0,71,2.967230796813965,0.2743055555555556,2.1599,133.339,8.334,,,,,
2.641,11.549318313598633,9.866666666666668e-06,2.0,142,,,,,,,,,,
,,,2.0,142,2.417982339859009,0.4305555555555556,2.2163,129.948,8.122,,,,,
2.0372,14.59880542755127,9.800000000000001e-06,3.0,213,,,,,,,,,,
,,,3.0,213,1.7747396230697632,0.6458333333333334,2.1316,135.112,8.445,,,,,
1.5405,13.566916465759277,9.733333333333334e-06,4.0,284,,,,,,,,,,
,,,4.0,284,1.4540964365005493,0.6666666666666666,1.9785,145.566,9.098,,,,,
1.2288,13.314055442810059,9.666666666666667e-06,5.0,355,,,,,,,,,,
,,,5.0,355,1.3159239292144775,0.7256944444444444,2.1371,134.764,8.423,,,,,
1.0252,11.243896484375,9.600000000000001e-06,6.0,426,,,,,,,,,,
,,,6.0,426,1.0374730825424194,0.8055555555555556,1.909,150.862,9.429,,,,,
0.8798,16.853870391845703,9.533333333333334e-06,7.0,497,,,,,,,,,,
,,,7.0,497,1.0246679782867432,0.7847222222222222,1.9014,151.466,9.467,,,,,
0.7915,16.84186553955078,9.466666666666667e-06,8.0,568,,,,,,,,,,
,,,8.0,568,0.9390690922737122,0.8055555555555556,1.9199,150.008,9.375,,,,,
0.6917,14.539748191833496,9.4e-06,9.0,639,,,,,,,,,,
,,,9.0,639,0.8704013824462891,0.8159722222222222,1.9857,145.034,9.065,,,,,
0.6361,16.5634765625,9.333333333333334e-06,10.0,710,,,,,,,,,,
,,,10.0,710,0.8932552337646484,0.8090277777777778,1.9822,145.294,9.081,,,,,
0.6028,13.706660270690918,9.266666666666667e-06,11.0,781,,,,,,,,,,
,,,11.0,781,0.893596887588501,0.7951388888888888,1.8917,152.248,9.515,,,,,
0.5476,18.339569091796875,9.200000000000002e-06,12.0,852,,,,,,,,,,
,,,12.0,852,0.8344384431838989,0.8159722222222222,1.9005,151.543,9.471,,,,,
0.4956,9.134410858154297,9.133333333333335e-06,13.0,923,,,,,,,,,,
,,,13.0,923,0.8849804401397705,0.8055555555555556,2.021,142.5,8.906,,,,,
0.4751,4.395008087158203,9.066666666666667e-06,14.0,994,,,,,,,,,,
,,,14.0,994,0.8772677183151245,0.8159722222222222,1.8806,153.139,9.571,,,,,
0.4464,15.132800102233887,9e-06,15.0,1065,,,,,,,,,,
,,,15.0,1065,0.8948125839233398,0.8159722222222222,1.8717,153.872,9.617,,,,,
0.4101,14.4716157913208,8.933333333333333e-06,16.0,1136,,,,,,,,,,
,,,16.0,1136,0.9119083881378174,0.8090277777777778,1.981,145.379,9.086,,,,,
0.3922,14.13160514831543,8.866666666666668e-06,17.0,1207,,,,,,,,,,
,,,17.0,1207,0.9149417877197266,0.7986111111111112,1.976,145.745,9.109,,,,,
0.3631,5.644701957702637,8.8e-06,18.0,1278,,,,,,,,,,
,,,18.0,1278,0.8847517967224121,0.8125,1.882,153.03,9.564,,,,,
0.3646,4.518622398376465,8.733333333333333e-06,19.0,1349,,,,,,,,,,
,,,19.0,1349,0.8679052591323853,0.7986111111111112,1.982,145.307,9.082,,,,,
0.3405,6.562195301055908,8.666666666666668e-06,20.0,1420,,,,,,,,,,
,,,20.0,1420,0.8871829509735107,0.8125,1.9698,146.21,9.138,,,,,
0.3141,5.65319299697876,8.6e-06,21.0,1491,,,,,,,,,,
,,,21.0,1491,0.8231787085533142,0.8194444444444444,1.8807,153.135,9.571,,,,,
0.3074,6.120474815368652,8.533333333333335e-06,22.0,1562,,,,,,,,,,
,,,22.0,1562,0.9090670347213745,0.8020833333333334,1.8725,153.809,9.613,,,,,
0.2953,6.805592060089111,8.466666666666668e-06,23.0,1633,,,,,,,,,,
,,,23.0,1633,0.8492047786712646,0.8090277777777778,1.8964,151.867,9.492,,,,,
0.2863,3.863978862762451,8.400000000000001e-06,24.0,1704,,,,,,,,,,
,,,24.0,1704,0.9062430262565613,0.8229166666666666,1.898,151.736,9.484,,,,,
0.2736,9.019686698913574,8.333333333333334e-06,25.0,1775,,,,,,,,,,
,,,25.0,1775,0.8810092210769653,0.8125,1.8809,153.116,9.57,,,,,
0.2723,10.267284393310547,8.266666666666667e-06,26.0,1846,,,,,,,,,,
,,,26.0,1846,0.8424575328826904,0.8055555555555556,1.873,153.762,9.61,,,,,
0.2699,3.4864017963409424,8.2e-06,27.0,1917,,,,,,,,,,
,,,27.0,1917,0.8530787825584412,0.8090277777777778,1.8812,153.092,9.568,,,,,
0.2581,4.7829155921936035,8.133333333333334e-06,28.0,1988,,,,,,,,,,
,,,28.0,1988,0.9575631618499756,0.8159722222222222,1.98,145.453,9.091,,,,,
0.2505,0.34823861718177795,8.066666666666667e-06,29.0,2059,,,,,,,,,,
,,,29.0,2059,0.9262300133705139,0.8090277777777778,1.8812,153.096,9.569,,,,,
0.2443,5.142312526702881,8.000000000000001e-06,30.0,2130,,,,,,,,,,
,,,30.0,2130,0.9421664476394653,0.8090277777777778,1.9811,145.376,9.086,,,,,
0.2348,6.256781578063965,7.933333333333334e-06,31.0,2201,,,,,,,,,,
,,,31.0,2201,0.9483446478843689,0.8263888888888888,1.9517,147.565,9.223,,,,,
,,,31.0,2201,,,,,,1093.4697,155.423,9.74,3.2737533848684544e+16,0.7208603777055684
