loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.4449,9.614479064941406,9.933333333333334e-06,1.0,71,,,,,,,,,,
,,,1.0,71,3.021155595779419,0.31958762886597936,0.8817,330.033,21.549,,,,,
2.7891,21.96038818359375,9.866666666666668e-06,2.0,142,,,,,,,,,,
,,,2.0,142,2.640947103500366,0.422680412371134,0.874,332.953,21.739,,,,,
2.3998,16.737607955932617,9.800000000000001e-06,3.0,213,,,,,,,,,,
,,,3.0,213,2.3002779483795166,0.48109965635738833,0.8771,331.774,21.662,,,,,
2.0831,11.089049339294434,9.733333333333334e-06,4.0,284,,,,,,,,,,
,,,4.0,284,2.031115770339966,0.563573883161512,0.8771,331.775,21.662,,,,,
1.8275,14.655141830444336,9.666666666666667e-06,5.0,355,,,,,,,,,,
,,,5.0,355,1.8429579734802246,0.6529209621993127,0.873,333.339,21.764,,,,,
1.6339,8.939621925354004,9.600000000000001e-06,6.0,426,,,,,,,,,,
,,,6.0,426,1.6902803182601929,0.6769759450171822,0.8738,333.01,21.743,,,,,
1.4371,9.435070037841797,9.533333333333334e-06,7.0,497,,,,,,,,,,
,,,7.0,497,1.523214340209961,0.6804123711340206,0.8747,332.685,21.722,,,,,
1.2772,13.351814270019531,9.466666666666667e-06,8.0,568,,,,,,,,,,
,,,8.0,568,1.4218313694000244,0.7044673539518901,0.8731,333.294,21.761,,,,,
1.1679,10.01012897491455,9.4e-06,9.0,639,,,,,,,,,,
,,,9.0,639,1.3398051261901855,0.7250859106529209,0.957,304.067,19.853,,,,,
1.0599,13.6295747756958,9.333333333333334e-06,10.0,710,,,,,,,,,,
,,,10.0,710,1.2297271490097046,0.7422680412371134,0.8785,331.252,21.628,,,,,
0.9754,10.702835083007812,9.266666666666667e-06,11.0,781,,,,,,,,,,
,,,11.0,781,1.2035470008850098,0.7560137457044673,0.8882,327.644,21.393,,,,,
0.8909,7.603171348571777,9.200000000000002e-06,12.0,852,,,,,,,,,,
,,,12.0,852,1.1562491655349731,0.7731958762886598,0.8763,332.096,21.683,,,,,
0.8299,8.280634880065918,9.133333333333335e-06,13.0,923,,,,,,,,,,
,,,13.0,923,1.11502206325531,0.7628865979381443,0.8757,332.322,21.698,,,,,
0.7604,7.212920665740967,9.066666666666667e-06,14.0,994,,,,,,,,,,
,,,14.0,994,1.1068614721298218,0.7800687285223368,0.8772,331.75,21.661,,,,,
0.7138,14.713915824890137,9e-06,15.0,1065,,,,,,,,,,
,,,15.0,1065,1.1003133058547974,0.7628865979381443,0.8829,329.611,21.521,,,,,
0.6882,10.681386947631836,8.933333333333333e-06,16.0,1136,,,,,,,,,,
,,,16.0,1136,1.057476282119751,0.7869415807560137,0.8758,332.262,21.694,,,,,
0.635,9.810640335083008,8.866666666666668e-06,17.0,1207,,,,,,,,,,
,,,17.0,1207,1.0611693859100342,0.7800687285223368,0.8753,332.471,21.708,,,,,
0.5939,10.799792289733887,8.8e-06,18.0,1278,,,,,,,,,,
,,,18.0,1278,1.0303863286972046,0.7869415807560137,0.8777,331.553,21.648,,,,,
0.5731,5.380016326904297,8.733333333333333e-06,19.0,1349,,,,,,,,,,
,,,19.0,1349,1.015231966972351,0.7835051546391752,0.7731,376.403,24.576,,,,,
0.5486,5.669960021972656,8.666666666666668e-06,20.0,1420,,,,,,,,,,
,,,20.0,1420,1.0262442827224731,0.7835051546391752,0.8775,331.64,21.653,,,,,
0.5201,13.629454612731934,8.6e-06,21.0,1491,,,,,,,,,,
,,,21.0,1491,1.0294029712677002,0.7800687285223368,1.0157,286.502,18.706,,,,,
0.4918,6.319498062133789,8.533333333333335e-06,22.0,1562,,,,,,,,,,
,,,22.0,1562,1.0058679580688477,0.7697594501718213,0.8848,328.889,21.474,,,,,
0.4788,5.916491985321045,8.466666666666668e-06,23.0,1633,,,,,,,,,,
,,,23.0,1633,1.0096114873886108,0.7800687285223368,0.8856,328.606,21.455,,,,,
0.4579,1.4645737409591675,8.400000000000001e-06,24.0,1704,,,,,,,,,,
,,,24.0,1704,1.00557541847229,0.7800687285223368,0.9527,305.434,19.942,,,,,
0.4321,3.2677459716796875,8.333333333333334e-06,25.0,1775,,,,,,,,,,
,,,25.0,1775,0.9686002731323242,0.7800687285223368,0.8451,344.332,22.482,,,,,
0.4165,1.9955726861953735,8.266666666666667e-06,26.0,1846,,,,,,,,,,
,,,26.0,1846,0.9929776191711426,0.7903780068728522,0.8269,351.924,22.978,,,,,
0.407,7.66259765625,8.2e-06,27.0,1917,,,,,,,,,,
,,,27.0,1917,0.9964192509651184,0.7835051546391752,0.8762,332.122,21.685,,,,,
0.3927,7.438121318817139,8.133333333333334e-06,28.0,1988,,,,,,,,,,
,,,28.0,1988,1.0271393060684204,0.7800687285223368,0.922,315.625,20.608,,,,,
0.3833,8.528243064880371,8.066666666666667e-06,29.0,2059,,,,,,,,,,
,,,29.0,2059,0.9945418834686279,0.7972508591065293,0.8773,331.684,21.656,,,,,
0.3727,7.528672218322754,8.000000000000001e-06,30.0,2130,,,,,,,,,,
,,,30.0,2130,0.99664705991745,0.7835051546391752,0.8764,332.045,21.68,,,,,
0.3525,4.843831539154053,7.933333333333334e-06,31.0,2201,,,,,,,,,,
,,,31.0,2201,1.0116811990737915,0.7800687285223368,0.9084,320.345,20.916,,,,,
0.359,1.1372392177581787,7.866666666666667e-06,32.0,2272,,,,,,,,,,
,,,32.0,2272,0.9997434616088867,0.7835051546391752,0.877,331.809,21.664,,,,,
0.343,3.070767402648926,7.800000000000002e-06,33.0,2343,,,,,,,,,,
,,,33.0,2343,0.9851332306861877,0.7938144329896907,0.8081,360.089,23.511,,,,,
0.3349,8.321596145629883,7.733333333333334e-06,34.0,2414,,,,,,,,,,
,,,34.0,2414,0.980222225189209,0.7903780068728522,0.8759,332.223,21.692,,,,,
0.3218,6.237446308135986,7.666666666666667e-06,35.0,2485,,,,,,,,,,
,,,35.0,2485,0.9842625856399536,0.7869415807560137,0.8767,331.936,21.673,,,,,
,,,35.0,2485,,,,,,455.8764,371.811,23.362,1.04105269588992e+16,0.9255341397444727
